OTU;Cytokine;Rho;PValue;Taxon;qvalue
ASV1;enrol_CXCL8.IL8.;-0.18207703692976;0.215244654784293;Lactobacillus_iners;0.997416171187662
ASV2;enrol_CXCL8.IL8.;0.0685129838058704;0.639328711475042;Bifidobacterium_388775_Bifidobacterium leopoldii;0.997416171187662
ASV4;enrol_CXCL8.IL8.;-0.150205738963304;0.475245458819747;Bifidobacterium_388775_Bifidobacterium vaginale;0.997416171187662
ASV5;enrol_CXCL8.IL8.;0.254827601139078;0.0730731588339469;Lactobacillus_crispatus;0.966957251782989
ASV7;enrol_CXCL8.IL8.;0.131556811734337;0.143978594116025;Fannyhessea_vaginae;0.997416171187662
ASV8;enrol_CXCL8.IL8.;0.0414174500035072;0.680208661912946;UBA629_sp005465875;0.997416171187662
ASV9;enrol_CXCL8.IL8.;-0.0937676551558044;0.772090769540484;Lactobacillus_gasseri_329736;0.997416171187662
ASV11;enrol_CXCL8.IL8.;0.1183704055734;0.228826833271551;Megasphaera_A_38692_lornae;0.997416171187662
ASV13;enrol_CXCL8.IL8.;-0.03485877443351;0.100994296335403;Sneathia_vaginalis;0.997416171187662
ASV14;enrol_CXCL8.IL8.;0.283598262734898;0.0153556964842211;Prevotella_amnii;0.795923364679357
ASV15;enrol_CXCL8.IL8.;0.173380660163995;0.212292697235369;Nanoperiomorbus_sp004136275;0.997416171187662
ASV17;enrol_CXCL8.IL8.;0.0812217967793067;0.951798733617157;Aerococcus_christensenii;0.997416171187662
ASV18;enrol_CXCL8.IL8.;-0.220846827617762;0.122235674659449;Prevotella_bivia;0.997416171187662
ASV19;enrol_CXCL8.IL8.;0.0263936511461192;0.312046879694625;Metamycoplasma_hominis;0.997416171187662
ASV21;enrol_CXCL8.IL8.;0.117827432759844;0.314885300198174;Sneathia_sanguinegens;0.997416171187662
ASV24;enrol_CXCL8.IL8.;-0.341962189605444;0.00517456978130789;Peptostreptococcus_anaerobius;0.579163330912734
ASV28;enrol_CXCL8.IL8.;0.145714567845781;0.475376285378531;KA00274_sp001552885;0.997416171187662
ASV29;enrol_CXCL8.IL8.;-0.140583245465874;0.306491690229445;Prevotella_buccalis;0.997416171187662
ASV30;enrol_CXCL8.IL8.;-0.207947305086181;0.119274625325656;Prevotella_melaninogenica;0.997416171187662
ASV31;enrol_CXCL8.IL8.;-0.0221337706775805;0.62402877931708;Ureaplasma_urealyticum;0.997416171187662
ASV33;enrol_CXCL8.IL8.;0.057952037603092;0.468041694687686;Dialister_micraerophilus;0.997416171187662
ASV35;enrol_CXCL8.IL8.;-0.138404485458576;0.773295175727944;Gemella_asaccharolytica;0.997416171187662
